Timestamp,studentID,work_time,necessity_scale,open_reason,study_time,activities,activities_status,student_status,supportiveness,influence_scale,favorite_activity,travel_time,work_time2,study_time2,influence_scale2,supportiveness2
9/27/2024 13:08:44,HamiltonHousing831,0,5,R,1,AC,1,I,3,0,M,7.5,0,0,0,1
9/27/2024 16:27:13,Teletubbies348,0,4,R,1,AC,1,I,3,3,M,22.5,0,0,1,1
9/27/2024 18:45:45,JimmyNeutron,0,2,O,3,AC,1,I,3,3,M,22.5,0,0,1,1
9/27/2024 19:41:19,StatsMyBeloved001,0,4,G,6,"CV, AA, AC",1,I,3,0,A,22.5,0,1,0,1
9/28/2024 15:00:26,Doodle253,5,3,G,3,"SF, AA",1,D,3,0,S,22.5,1,0,0,1
9/28/2024 17:22:50,NonemptyDataset3483,0,3,PS,3,AA,1,I,3,3,M,45,0,0,1,1
9/28/2024 17:31:43,mtcarsMyBelovedqq,0,1,NS,5,N,0,I,0,0,A,45,0,1,0,0
9/28/2024 17:46:39,ClubPenguinY,0,2,O,5,SF,1,D,3,0,D,22.5,0,1,0,1
9/28/2024 19:13:10,GPADestroyeruuu,0,3,T,1,AC,1,I,3,2,M,22.5,0,0,1,1
9/28/2024 21:48:22,StatsMyBeloved174,0,3,PS,3,N,0,I,3,0,M,45,0,0,0,1
9/28/2024 22:40:42,WowWowWow565,1.5,5,G,5,SF,1,D,3,3,S,22.5,1,1,1,1
9/29/2024 12:22:18,AdditiveModel999,0,2,R,3,N,0,D,3,0,A,7.5,0,0,0,1
9/29/2024 21:11:01,TaylorSwift,0,3,O,3,SF,1,D,3,1,S,60,0,0,1,1
9/30/2024 19:08:30,researching,0.5,3,O,1,N,0,D,0,0,A,22.5,1,0,0,0
9/30/2024 22:14:06,Badminton ,0,4,R,3,SF,1,I,3,1,S,22.5,0,0,1,1
10/1/2024 12:54:28,NonemptyDataset4387,0,3,O,1,SF,1,D,3,3,S,7.5,0,0,1,1
10/1/2024 17:54:11,tidyverseMyBeloved135,0,4,PS,1,SF,1,D,3,0,S,60,0,0,0,1
10/1/2024 18:47:18,AdditiveModel821,3.5,4,PS,1,"SF, AA, N",1,D,3,3,S,60,1,0,1,1
10/2/2024 11:18:00,AdditiveModel998,0,4,G,6,SF,1,I,3,3,S,22.5,0,1,1,1
10/2/2024 15:55:32,tidyverseMyBeloved034,0,4,O,1,SF,1,D,3,0,S,45,0,0,0,1
10/2/2024 19:30:29,StatsMyBeloved268,0,5,R,3,SF,1,I,3,0,D,7.5,0,0,0,1
10/2/2024 19:33:36,mtcarsMyBelovedowo,0,5,R,5,SF,1,I,3,0,S,22.5,0,1,0,1
10/3/2024 10:14:53,ExpensiveToronto09,0.5,4,PS,3,"SF, CV, AA",1,I,3,0,S,22.5,1,0,0,1
10/3/2024 11:09:48,RateMyProfessor4000,0,5,R,3,N,0,I,3,3,A,22.5,0,0,1,1
10/3/2024 11:13:45,RateMyProfesor1000,0,4,R,1,AC,1,I,3,3,M,7.5,0,0,1,1
10/3/2024 11:17:53,Confint,0,5,PS,1,"SF, AA",1,D,3,3,S,60,0,0,1,1
10/3/2024 12:07:20,ExpensiveToronto12,0.5,5,G,3,AC,1,D,2,0,M,45,1,0,0,1
10/3/2024 12:12:01,ClubPenguinK,0.5,5,G,1,SF,1,D,3,0,S,22.5,1,0,0,1
10/3/2024 13:27:59,tidyverseMyBeloved435,0,5,O,3,SF,1,D,3,0,S,60,0,0,0,1
10/3/2024 13:43:41,NeedPiazza555,1.5,1,O,6,"CV, AA",1,D,2,1,A,60,1,1,1,1
10/3/2024 16:18:55,AAA648,0.5,1,NS,1,N,0,I,3,0,D,7.5,1,0,0,1
10/3/2024 18:53:41,StatsMyBeloved923,0,4,R,6,SF,1,I,3,3,S,22.5,0,1,1,1
10/4/2024 10:31:56,HappyTent829,0,2,T,6,SF,1,D,3,3,S,45,0,1,1,1
10/4/2024 10:51:50,HappyTent109,0,3,T,6,SF,1,I,3,1,A,7.5,0,1,1,1
10/4/2024 12:07:01,NonemptyDataset1635,1.5,2,O,3,"SF, AC",1,I,3,3,M,22.5,1,0,1,1
10/4/2024 12:08:33,1008798623,0,3,O,5,CV,1,I,3,3,A,22.5,0,1,1,1
10/4/2024 12:08:35,tidyverseMyBeloved315,0,3,O,1,N,0,I,3,3,A,22.5,0,0,1,1
10/4/2024 12:09:42,setseed123,0,5,R,5,"SF, AA",1,D,0,0,S,22.5,0,1,0,0
10/4/2024 12:11:07,AAA319,0,2,O,3,N,0,I,3,3,M,22.5,0,0,1,1
10/4/2024 12:11:15,n/a,0,4,O,3,"SF, gaming",1,D,3,3,D,7.5,0,0,1,1
10/4/2024 12:11:19,LovelyLuai678,0,4,G,6,N,0,D,3,3,A,7.5,0,1,1,1
10/4/2024 12:11:36,idk,0,4,O,1,SF,1,D,2,0,S,22.5,0,0,0,1
10/4/2024 12:12:01,basketball,0,4,O,3,SF,1,I,3,3,S,7.5,0,0,1,1
10/4/2024 12:12:45,markk ,5,5,R,1,"SF, AC",1,D,3,3,S,7.5,1,0,1,1
10/4/2024 12:13:34,LovelyLuai112,0,2,O,6,AA,1,D,3,3,A,45,0,1,1,1
10/4/2024 12:13:49,GPADestroyerzzz,0,4,O,1,SF,1,D,3,3,S,22.5,0,0,1,1
10/4/2024 12:21:26,mtcarsMyBeloveduguu,0.5,4,O,3,"SF, CV",1,I,3,2,S,22.5,1,0,1,1
10/4/2024 12:29:36,NeedPiazza111,3.5,4,O,3,AA,1,I,3,3,A,45,1,0,1,1
10/4/2024 12:33:17,HamiltonHousing445,0,4,R,3,"SF, CV, AC",1,D,3,3,M,22.5,0,0,1,1
10/4/2024 12:51:27,stdev,0,5,O,5,SF,1,D,3,3,S,45,0,1,1,1
10/4/2024 12:57:10,expectedval,3.5,4,O,5,"SF, AA, AC",1,D,3,3,S,22.5,1,1,1,1
10/4/2024 13:05:42,HappyTent234,0.5,3,R,3,N,0,I,3,3,A,22.5,1,0,1,1
10/4/2024 13:05:47,ClubPenguinO,0.5,5,O,5,"SF, AA, AC",1,D,3,0,M,45,1,1,0,1
10/4/2024 13:05:53,Garry,0.5,3,O,5,N,0,I,3,3,D,7.5,1,1,1,1
10/4/2024 13:05:56,GPADestroyeryyy,0,2,PS,1,N,0,D,3,0,M,22.5,0,0,0,1
10/4/2024 13:06:23,teaching,1.5,2,O,1,AC,1,D,3,2,D,7.5,1,0,1,1
10/4/2024 13:06:41,chloex,0,4,R,3,"SF, AC",1,I,3,3,M,22.5,0,0,1,1
10/4/2024 13:08:39,DerekT,0.5,4,R,3,SF,1,D,3,2,S,7.5,1,0,1,1
10/4/2024 13:08:43,Tingting Su,1.5,5,R,5,N,0,D,3,3,M,22.5,1,1,1,1
10/4/2024 13:09:06,Examining,0,4,O,1,"SF, AC",1,D,3,3,D,7.5,0,0,1,1
10/4/2024 13:12:13,HamiltonHousing235,0,5,O,5,SF,1,I,3,3,S,22.5,0,1,1,1
10/4/2024 13:13:11,variance,0.5,5,R,5,"SF, AA",1,D,3,3,A,45,1,1,1,1
10/4/2024 13:39:41,Pointest ,1.5,5,O,3,SF,1,D,3,2,S,7.5,1,0,1,1
10/4/2024 13:44:27,BacherlorPlus153,0,3,R,3,SF,1,I,3,1,S,22.5,0,0,1,1
10/4/2024 14:05:56,STA304,5,4,R,6,AA,1,I,3,3,A,7.5,1,1,1,1
10/4/2024 14:37:29,LegendOfZelda,0,4,O,1,SF,1,I,3,3,S,22.5,0,0,1,1
10/4/2024 15:42:26,studying,0,3,O,3,SF,1,D,3,3,S,22.5,0,0,1,1
10/4/2024 16:48:32,NeedPiazza333,1.5,5,T,3,"CV, AA",1,I,3,1,A,60,1,0,1,1
10/5/2024 12:04:13,setseed329,0,3,O,3,N,0,D,3,3,M,45,0,0,1,1
10/5/2024 21:31:11,BachelorPlus364,0,4,R,5,SF,1,I,3,3,S,22.5,0,1,1,1
10/6/2024 14:05:02,BachelorPlus486,0,3,O,3,AC,1,I,3,3,M,22.5,0,0,1,1
10/7/2024 9:07:23,midjourney,0,4,R,3,N,0,I,3,3,S,7.5,0,0,1,1
10/7/2024 13:58:54,ggplotMyBeloved369,0,1,R,3,N,0,I,2,1,D,45,0,0,1,1
10/7/2024 19:10:05,ExpensiveToronto55,0,5,O,3,SF,1,I,3,1,A,45,0,0,1,1
10/7/2024 20:24:10,ggplotMyBeloved374,0,4,O,1,SF,1,I,3,0,S,22.5,0,0,0,1
10/7/2024 22:05:29,setseed863,3.5,3,O,5,AA,1,I,3,3,A,22.5,1,1,1,1
10/8/2024 11:19:07,super2data,1.5,4,O,3,N,0,D,0,0,M,7.5,1,0,0,0
10/8/2024 12:04:49,barcode,0,3,O,5,N,0,I,3,0,M,45,0,1,0,1
10/8/2024 12:51:42,Boohbahs365,0,5,R,3,SF,1,I,3,3,S,22.5,0,0,1,1
10/8/2024 13:26:44,RateMyProfessor2000,0.5,4,O,5,"SF, CV",1,I,0,0,S,22.5,1,1,0,0
10/8/2024 13:46:45,ComputationalStatistics364,0,4,T,3,SF,1,D,3,3,S,45,0,0,1,1
10/8/2024 17:06:54,Biostatistics584,1.5,1,O,5,N,0,I,3,3,M,45,1,1,1,1
10/8/2024 17:13:04,HamiltonHousing579,0,4,G,3,AC,1,I,3,0,M,7.5,0,0,0,1
10/8/2024 19:57:40,NeedPiazza444,0,3,O,1,AA,1,D,3,1,M,7.5,0,0,1,1
10/9/2024 15:01:14,setseed952,1.5,5,O,5,SF,1,D,3,0,S,22.5,1,1,0,1
10/9/2024 19:31:41,good2data,1.5,5,R,3,SF,1,D,3,3,S,22.5,1,0,1,1
10/9/2024 19:32:00,Boohbahs974,0,5,O,3,SF,1,I,3,3,S,22.5,0,0,1,1
10/9/2024 19:35:10,Boohbahs138,3.5,4,O,5,"CV, AA",1,I,3,3,S,22.5,1,1,1,1
10/9/2024 23:32:30,ClubPenguinA,0,2,PS,1,SF,1,D,3,0,S,45,0,0,0,1
10/10/2024 11:14:39,amazing2data,0,5,G,1,"SF, AA",1,D,3,2,S,45,0,0,1,1
10/10/2024 12:29:55,ClubPenguinP2,3.5,4,O,5,N,0,D,3,3,O,22.5,1,1,1,1
10/10/2024 13:17:23,ComputationalStatistics723,0,3,R,3,N,0,I,3,0,M,22.5,0,0,0,1
10/11/2024 18:50:30,Biostatistics197,1.5,5,O,6,"SF, AC",1,D,3,3,S,22.5,1,1,1,1
10/13/2024 2:21:48,project789,3.5,5,PS,3,SF,1,I,3,0,S,22.5,1,0,0,1
10/13/2024 12:38:54,MathlsBetter852,0,1,NS,3,N,0,I,3,2,M,45,0,0,1,1
10/13/2024 18:41:27,Biostatistics765,0,3,O,6,N,0,D,0,1,A,22.5,0,1,1,0
10/13/2024 21:05:23,AdditiveModel997,1.5,4,O,3,"SF, AA",1,I,3,1,S,60,1,0,1,1
10/14/2024 0:28:18,HappyTent723,0,3,O,3,SF,1,D,3,3,S,45,0,0,1,1
10/14/2024 4:42:18,Doodle239,0,4,R,1,AA,1,D,3,0,M,45,0,0,0,1
10/15/2024 0:51:54,ComputationalStatistics943,0,5,G,3,SF,1,I,3,1,A,22.5,0,0,1,1
10/15/2024 10:44:48,Doodle087,0,4,O,3,SF,1,D,2,0,S,22.5,0,0,0,1
10/15/2024 15:48:10,nightcafe,0.5,4,R,3,N,0,D,3,0,S,60,1,0,0,1
10/16/2024 0:37:48,AdditiveModel996,0,4,R,1,SF,1,D,3,0,S,45,0,0,0,1
10/16/2024 18:04:01,NeedPiazza222,0,4,O,6,AC,1,D,3,0,M,22.5,0,1,0,1
10/16/2024 20:11:38,HonkaiStarRail,1.5,3,O,3,SF,1,I,3,1,S,7.5,1,0,1,1
10/16/2024 22:14:41,1008078704,0,3,O,5,N,0,I,3,3,M,45,0,1,1,1
10/16/2024 22:39:27,justsayin093,0,3,R,3,N,0,I,3,3,M,45,0,0,1,1
10/17/2024 9:31:01,GiveA,1.5,5,PS,3,SF,1,D,3,3,A,45,1,0,1,1
10/17/2024 10:44:39,WowWowWow986,0.5,3,O,5,SF,1,I,3,3,A,22.5,1,1,1,1
10/17/2024 19:08:42,MathlsBetter258,0,4,R,1,N,0,I,2,0,M,22.5,0,0,0,1
10/18/2024 10:27:23,Biostatistics923,0,3,O,5,SF,1,D,2,2,S,22.5,0,1,1,1
10/18/2024 12:40:16,Sta304 Jiaxi Yin 1005490899,0,3,O,5,"SF, CV",1,I,3,0,S,22.5,0,1,0,1
10/18/2024 14:06:05,Project 123,0,3,O,3,N,0,I,3,3,S,22.5,0,0,1,1
10/18/2024 17:22:04,Money,0,2,O,1,N,0,I,3,0,S,22.5,0,0,0,1
10/18/2024 18:42:50,project024,0,3,O,3,SF,1,I,0,0,S,7.5,0,0,0,0
10/18/2024 21:45:45,Sajidsoh,1.5,5,O,3,SF,1,D,3,0,S,7.5,1,0,0,1
10/18/2024 22:05:07,WowWowWow783,0,5,PS,3,SF,1,D,3,0,S,7.5,0,0,0,1
10/19/2024 11:44:37,ElonMusk,1.5,1,T,3,AC,1,D,2,2,P,45,1,0,1,1
10/19/2024 14:38:21,TryingTo,3.5,1,T,3,SF,1,D,3,3,A,60,1,0,1,1
10/19/2024 17:27:31,veggie349,0,4,R,1,SF,1,I,3,2,S,7.5,0,0,1,1
10/19/2024 17:27:31,veggie647,0,4,T,6,"CV, AA",1,D,3,3,A,22.5,0,1,1,1